Xamarin.GooglePlayServices
Xamarin.GooglePlayServices.Ads
Xamarin.GooglePlayServices.Ads.Base
Xamarin.GooglePlayServices.Ads.Identifier
Xamarin.GooglePlayServices.Ads.Lite
Xamarin.GooglePlayServices.Analytics
Xamarin.GooglePlayServices.Analytics.Impl
Xamarin.GooglePlayServices.AppIndexing
Xamarin.GooglePlayServices.AppInvite
Xamarin.GooglePlayServices.AppState
Xamarin.GooglePlayServices.Audience
Xamarin.GooglePlayServices.Auth
Xamarin.GooglePlayServices.Auth.Api.Phone
Xamarin.GooglePlayServices.Auth.Base
Xamarin.GooglePlayServices.Awareness
Xamarin.GooglePlayServices.Base
Xamarin.GooglePlayServices.Basement
Xamarin.GooglePlayServices.Cast
Xamarin.GooglePlayServices.Cast.Framework
Xamarin.GooglePlayServices.ContextManager
Xamarin.GooglePlayServices.Clearcut
Xamarin.GooglePlayServices.Drive
Xamarin.GooglePlayServices.Fido
Xamarin.GooglePlayServices.Fitness
Xamarin.GooglePlayServices.Flags
Xamarin.GooglePlayServices.Games
Xamarin.GooglePlayServices.Gass
Xamarin.GooglePlayServices.Gcm
Xamarin.GooglePlayServices.Identity
Xamarin.GooglePlayServices.Iid
Xamarin.GooglePlayServices.InstantApps
Xamarin.GooglePlayServices.Location
Xamarin.GooglePlayServices.Maps
Xamarin.GooglePlayServices.Measurement
Xamarin.GooglePlayServices.Measurement.Base
Xamarin.GooglePlayServices.Nearby
Xamarin.GooglePlayServices.Oss.Licenses
Xamarin.GooglePlayServices.Panorama
Xamarin.GooglePlayServices.Phenotype
Xamarin.GooglePlayServices.Places
Xamarin.GooglePlayServices.Places.PlaceReport
Xamarin.GooglePlayServices.Plus
Xamarin.GooglePlayServices.SafetyNet
Xamarin.GooglePlayServices.Stats
Xamarin.GooglePlayServices.TagManager
Xamarin.GooglePlayServices.TagManager.Api
Xamarin.GooglePlayServices.TagManager.V4.Impl
Xamarin.GooglePlayServices.Tasks
Xamarin.GooglePlayServices.Vision
Xamarin.GooglePlayServices.Vision.Common
Xamarin.GooglePlayServices.Vision.ImageLabel
Xamarin.GooglePlayServices.Wallet
Xamarin.GooglePlayServices.Wearable
Xamarin.Firebase.Abt
Xamarin.Firebase.Ads
Xamarin.Firebase.Ads.Lite
Xamarin.Firebase.Analytics
Xamarin.Firebase.Analytics.Impl
Xamarin.Firebase.AppIndexing
Xamarin.Firebase.Auth
Xamarin.Firebase.Auth.Common
Xamarin.Firebase.Auth.Interop
Xamarin.Firebase.Auth.Module
Xamarin.Firebase.Common
Xamarin.Firebase.Config
Xamarin.Firebase.Core
Xamarin.Firebase.Crash
Xamarin.Firebase.Database
Xamarin.Firebase.Database.Collection
Xamarin.Firebase.Database.Connection
Xamarin.Firebase.Dynamic.Links
Xamarin.Firebase.Firestore
Xamarin.Firebase.Functions
Xamarin.Firebase.JobDispatcher
Xamarin.Firebase.Iid
Xamarin.Firebase.Iid.Interop
Xamarin.Firebase.Invites
Xamarin.Firebase.Measurement.Connector
Xamarin.Firebase.Measurement.Connector.Impl
Xamarin.Firebase.Messaging
Xamarin.Firebase.ML.Common
Xamarin.Firebase.ML.Model.Interpreter
Xamarin.Firebase.ML.Vision
Xamarin.Firebase.ML.Vision.Image.Label.Model
Xamarin.Firebase.Perf
Xamarin.Firebase.Storage
Xamarin.Firebase.Storage.Common
Xamarin.Firebase.ProtoliteWellKnownTypes
Square.OkHttp
Xamarin.TensorFlow.Lite
Xamarin.Protobuf.Lite
