# Class,ClassFullyQualified Removed, ClassFullyQualified New
ParcelableVolumeInfo,AndroidX.Media.Session.ParcelableVolumeInfo,Android.Support.V4.Media.Session.ParcelableVolumeInfo
PlaybackStateCompat,AndroidX.Media.Session.PlaybackStateCompat,Android.Support.V4.Media.Session.PlaybackStateCompat
IResultReceiver,AndroidX.Core.OS.IResultReceiver,Android.Support.V4.OS.IResultReceiver
ResultReceiver,AndroidX.Core.OS.ResultReceiver,Android.Support.V4.OS.ResultReceiver
ResultReceiverStub,AndroidX.Core.OS.ResultReceiverStub,Android.Support.V4.OS.ResultReceiverStub
FontRequest,AndroidX.DocumentFile.Provider.FontRequest,AndroidX.Core.Provider.FontRequest
FontsContractCompat,AndroidX.DocumentFile.Provider.FontsContractCompat,AndroidX.Core.Provider.FontsContractCompat
SelfDestructiveThread,AndroidX.DocumentFile.Provider.SelfDestructiveThread,AndroidX.Core.Provider.SelfDestructiveThread
AtomicFile,AndroidX.Collection.AtomicFile,AndroidX.Core.Util.AtomicFile
DebugUtils,AndroidX.Collection.DebugUtils,AndroidX.Core.Util.DebugUtils
IConsumer,AndroidX.Collection.IConsumer,AndroidX.Core.Util.IConsumer
LogWriter,AndroidX.Collection.LogWriter,AndroidX.Core.Util.LogWriter
ObjectsCompat,AndroidX.Collection.ObjectsCompat,AndroidX.Core.Util.ObjectsCompat
Pair,AndroidX.Collection.Pair,AndroidX.Core.Util.Pair
PatternsCompat,AndroidX.Collection.PatternsCompat,AndroidX.Core.Util.PatternsCompat
Pools,AndroidX.Collection.Pools,AndroidX.Core.Util.Pools
Preconditions,AndroidX.Collection.Preconditions,AndroidX.Core.Util.Preconditions
TimeUtils,AndroidX.Collection.TimeUtils,AndroidX.Core.Util.TimeUtils
AccessibilityDelegateCompat,AndroidX.CustomView.View.AccessibilityDelegateCompat,AndroidX.Core.View.AccessibilityDelegateCompat
ActionProvider,AndroidX.CustomView.View.ActionProvider,AndroidX.Core.View.ActionProvider
AnimationCancelEventArgs,AndroidX.CustomView.View.AnimationCancelEventArgs,AndroidX.Core.View.AnimationCancelEventArgs
AnimationEndEventArgs,AndroidX.CustomView.View.AnimationEndEventArgs,AndroidX.Core.View.AnimationEndEventArgs
AnimationStartEventArgs,AndroidX.CustomView.View.AnimationStartEventArgs,AndroidX.Core.View.AnimationStartEventArgs
ApplyWindowInsetsHandler,AndroidX.CustomView.View.ApplyWindowInsetsHandler,AndroidX.Core.View.ApplyWindowInsetsHandler
AsyncLayoutInflater,AndroidX.CustomView.View.AsyncLayoutInflater,AndroidX.AsyncLayoutInflater.View.AsyncLayoutInflater
DisplayCutoutCompat,AndroidX.CustomView.View.DisplayCutoutCompat,AndroidX.Core.View.DisplayCutoutCompat
GestureDetectorCompat,AndroidX.CustomView.View.GestureDetectorCompat,AndroidX.Core.View.GestureDetectorCompat
GravityCompat,AndroidX.CustomView.View.GravityCompat,AndroidX.Core.View.GravityCompat
INestedScrollingChild,AndroidX.CustomView.View.INestedScrollingChild,AndroidX.Core.View.INestedScrollingChild
INestedScrollingChild2,AndroidX.CustomView.View.INestedScrollingChild2,AndroidX.Core.View.INestedScrollingChild2
INestedScrollingParent,AndroidX.CustomView.View.INestedScrollingParent,AndroidX.Core.View.INestedScrollingParent
INestedScrollingParent2,AndroidX.CustomView.View.INestedScrollingParent2,AndroidX.Core.View.INestedScrollingParent2
IOnApplyWindowInsetsListener,AndroidX.CustomView.View.IOnApplyWindowInsetsListener,AndroidX.Core.View.IOnApplyWindowInsetsListener
IScrollingView,AndroidX.CustomView.View.IScrollingView,AndroidX.Core.View.IScrollingView
ITintableBackgroundView,AndroidX.CustomView.View.ITintableBackgroundView,AndroidX.Core.View.ITintableBackgroundView
IViewPropertyAnimatorListener,AndroidX.CustomView.View.IViewPropertyAnimatorListener,AndroidX.Core.View.IViewPropertyAnimatorListener
IViewPropertyAnimatorUpdateListener,AndroidX.CustomView.View.IViewPropertyAnimatorUpdateListener,AndroidX.Core.View.IViewPropertyAnimatorUpdateListener
InputDeviceCompat,AndroidX.CustomView.View.InputDeviceCompat,AndroidX.Core.View.InputDeviceCompat
KeyEventDispatcher,AndroidX.CustomView.View.KeyEventDispatcher,AndroidX.Core.View.KeyEventDispatcher
LayoutInflaterCompat,AndroidX.CustomView.View.LayoutInflaterCompat,AndroidX.Core.View.LayoutInflaterCompat
MarginLayoutParamsCompat,AndroidX.CustomView.View.MarginLayoutParamsCompat,AndroidX.Core.View.MarginLayoutParamsCompat
MenuCompat,AndroidX.CustomView.View.MenuCompat,AndroidX.Core.View.MenuCompat
MenuItemCompat,AndroidX.CustomView.View.MenuItemCompat,AndroidX.Core.View.MenuItemCompat
MotionEventCompat,AndroidX.CustomView.View.MotionEventCompat,AndroidX.Core.View.MotionEventCompat
NestedScrollingChildHelper,AndroidX.CustomView.View.NestedScrollingChildHelper,AndroidX.Core.View.NestedScrollingChildHelper
NestedScrollingParentHelper,AndroidX.CustomView.View.NestedScrollingParentHelper,AndroidX.Core.View.NestedScrollingParentHelper
PagerAdapter,AndroidX.CustomView.View.PagerAdapter,AndroidX.ViewPager.Widget.PagerAdapter
PagerTabStrip,AndroidX.CustomView.View.PagerTabStrip,AndroidX.ViewPager.Widget.PagerTabStrip
PagerTitleStrip,AndroidX.CustomView.View.PagerTitleStrip,AndroidX.ViewPager.Widget.PagerTitleStrip
PointerIconCompat,AndroidX.CustomView.View.PointerIconCompat,AndroidX.Core.View.PointerIconCompat
ScaleGestureDetectorCompat,AndroidX.CustomView.View.ScaleGestureDetectorCompat,AndroidX.Core.View.ScaleGestureDetectorCompat
ViewCompat,AndroidX.CustomView.View.ViewCompat,AndroidX.Core.View.ViewCompat
ViewConfigurationCompat,AndroidX.CustomView.View.ViewConfigurationCompat,AndroidX.Core.View.ViewConfigurationCompat
ViewGroupCompat,AndroidX.CustomView.View.ViewGroupCompat,AndroidX.Core.View.ViewGroupCompat
ViewPager,AndroidX.CustomView.View.ViewPager,AndroidX.ViewPager.Widget.ViewPager
ViewParentCompat,AndroidX.CustomView.View.ViewParentCompat,AndroidX.Core.View.ViewParentCompat
ViewPropertyAnimatorCompat,AndroidX.CustomView.View.ViewPropertyAnimatorCompat,AndroidX.Core.View.ViewPropertyAnimatorCompat
