# Class,ClassFullyQualified Removed, ClassFullyQualified New
FragmentTransitionImpl,AndroidX.Legacy.App.FragmentTransitionImpl,AndroidX.Fragment.App.FragmentTransitionImpl
FrameMetricsAggregator,AndroidX.Legacy.App.FrameMetricsAggregator,AndroidX.Core.App.FrameMetricsAggregator
INotificationBuilderWithBuilderAccessor,AndroidX.Legacy.App.INotificationBuilderWithBuilderAccessor,AndroidX.Core.App.INotificationBuilderWithBuilderAccessor
INotificationSideChannel,AndroidX.Legacy.App.INotificationSideChannel,Android.Support.V4.App.INotificationSideChannel
JobIntentService,AndroidX.Legacy.App.JobIntentService,AndroidX.Core.App.JobIntentService
ListFragment,AndroidX.Legacy.App.ListFragment,AndroidX.Fragment.App.ListFragment
LoaderManager,AndroidX.Legacy.App.LoaderManager,AndroidX.Loader.App.LoaderManager
NavUtils,AndroidX.Legacy.App.NavUtils,AndroidX.Core.App.NavUtils
NotificationCompat,AndroidX.Legacy.App.NotificationCompat,AndroidX.Core.App.NotificationCompat
NotificationCompatExtras,AndroidX.Legacy.App.NotificationCompatExtras,AndroidX.Core.App.NotificationCompatExtras
NotificationCompatSideChannelService,AndroidX.Legacy.App.NotificationCompatSideChannelService,AndroidX.Core.App.NotificationCompatSideChannelService
NotificationManagerCompat,AndroidX.Legacy.App.NotificationManagerCompat,AndroidX.Core.App.NotificationManagerCompat
NotificationSideChannelStub,AndroidX.Legacy.App.NotificationSideChannelStub,Android.Support.V4.App.NotificationSideChannelStub
Person,AndroidX.Legacy.App.Person,AndroidX.Core.App.Person
RemoteInput,AndroidX.Legacy.App.RemoteInput,AndroidX.Core.App.RemoteInput
ServiceCompat,AndroidX.Legacy.App.ServiceCompat,AndroidX.Core.App.ServiceCompat
ShareCompat,AndroidX.Legacy.App.ShareCompat,AndroidX.Core.App.ShareCompat
SharedElementCallback,AndroidX.Legacy.App.SharedElementCallback,AndroidX.Core.App.SharedElementCallback
TaskStackBuilder,AndroidX.Legacy.App.TaskStackBuilder,AndroidX.Core.App.TaskStackBuilder
PackageInfoCompat,AndroidX.Loader.Content.PM.PackageInfoCompat,AndroidX.Core.Content.PM.PackageInfoCompat
PermissionInfoCompat,AndroidX.Loader.Content.PM.PermissionInfoCompat,AndroidX.Core.Content.PM.PermissionInfoCompat
ShortcutInfoCompat,AndroidX.Loader.Content.PM.ShortcutInfoCompat,AndroidX.Core.Content.PM.ShortcutInfoCompat
ShortcutManagerCompat,AndroidX.Loader.Content.PM.ShortcutManagerCompat,AndroidX.Core.Content.PM.ShortcutManagerCompat
ColorStateListInflaterCompat,AndroidX.Loader.Content.Res.ColorStateListInflaterCompat,AndroidX.Core.Content.Resources.ColorStateListInflaterCompat
ComplexColorCompat,AndroidX.Loader.Content.Res.ComplexColorCompat,AndroidX.Core.Content.Resources.ComplexColorCompat
ConfigurationHelper,AndroidX.Loader.Content.Res.ConfigurationHelper,AndroidX.Core.Content.Resources.ConfigurationHelper
FontResourcesParserCompat,AndroidX.Loader.Content.Res.FontResourcesParserCompat,AndroidX.Core.Content.Resources.FontResourcesParserCompat
ResourcesCompat,AndroidX.Loader.Content.Res.ResourcesCompat,AndroidX.Core.Content.Resources.ResourcesCompat
TypedArrayUtils,AndroidX.Loader.Content.Res.TypedArrayUtils,AndroidX.Core.Content.Resources.TypedArrayUtils
SQLiteCursorCompat,AndroidX.Core.Database.Sqlite.SQLiteCursorCompat,AndroidX.Core.Database.SqlLite.SQLiteCursorCompat
AccessibilityEventCompat,AndroidX.CustomView.View.Accessibility.AccessibilityEventCompat,AndroidX.Core.View.Accessibiity.AccessibilityEventCompat
AccessibilityManagerCompat,AndroidX.CustomView.View.Accessibility.AccessibilityManagerCompat,AndroidX.Core.View.Accessibiity.AccessibilityManagerCompat
AccessibilityNodeInfoCompat,AndroidX.CustomView.View.Accessibility.AccessibilityNodeInfoCompat,AndroidX.Core.View.Accessibiity.AccessibilityNodeInfoCompat
AccessibilityNodeProviderCompat,AndroidX.CustomView.View.Accessibility.AccessibilityNodeProviderCompat,AndroidX.Core.View.Accessibiity.AccessibilityNodeProviderCompat
AccessibilityRecordCompat,AndroidX.CustomView.View.Accessibility.AccessibilityRecordCompat,AndroidX.Core.View.Accessibiity.AccessibilityRecordCompat
AccessibilityWindowInfoCompat,AndroidX.CustomView.View.Accessibility.AccessibilityWindowInfoCompat,AndroidX.Core.View.Accessibiity.AccessibilityWindowInfoCompat
FastOutLinearInInterpolator,AndroidX.CustomView.View.Animation.FastOutLinearInInterpolator,AndroidX.Interpolator.View.Animation.FastOutLinearInInterpolator
FastOutSlowInInterpolator,AndroidX.CustomView.View.Animation.FastOutSlowInInterpolator,AndroidX.Interpolator.View.Animation.FastOutSlowInInterpolator
LinearOutSlowInInterpolator,AndroidX.CustomView.View.Animation.LinearOutSlowInInterpolator,AndroidX.Interpolator.View.Animation.LinearOutSlowInInterpolator
LookupTableInterpolator,AndroidX.CustomView.View.Animation.LookupTableInterpolator,AndroidX.Interpolator.View.Animation.LookupTableInterpolator
PathInterpolatorCompat,AndroidX.CustomView.View.Animation.PathInterpolatorCompat,AndroidX.Core.View.Animation.PathInterpolatorCompat
AnimatedStateListDrawableCompat,AndroidX.Palette.Graphics.Drawable.AnimatedStateListDrawableCompat,AndroidX.AppCompat.Graphics.Drawable.AnimatedStateListDrawableCompat
DrawableWrapper,AndroidX.Palette.Graphics.Drawable.DrawableWrapper,AndroidX.AppCompat.Graphics.Drawable.DrawableWrapper
DrawerArrowDrawable,AndroidX.Palette.Graphics.Drawable.DrawerArrowDrawable,AndroidX.AppCompat.Graphics.Drawable.DrawerArrowDrawable
AndroidResources,AndroidX.Preference.AndroidResources,AndroidX.Preference.AndroidResources
CheckBoxPreference,AndroidX.Preference.CheckBoxPreference,AndroidX.Preference.CheckBoxPreference
DialogPreference,AndroidX.Preference.DialogPreference,AndroidX.Preference.DialogPreference
DialogPreferenceITargetFragmentExtensions,AndroidX.Preference.DialogPreferenceITargetFragmentExtensions,AndroidX.Preference.DialogPreferenceITargetFragmentExtensions
DropDownPreference,AndroidX.Preference.DropDownPreference,AndroidX.Preference.DropDownPreference
EditTextPreference,AndroidX.Preference.EditTextPreference,AndroidX.Preference.EditTextPreference
EditTextPreferenceDialogFragmentCompat,AndroidX.Preference.EditTextPreferenceDialogFragmentCompat,AndroidX.Preference.EditTextPreferenceDialogFragmentCompat
ListPreference,AndroidX.Preference.ListPreference,AndroidX.Preference.ListPreference
ListPreferenceDialogFragmentCompat,AndroidX.Preference.ListPreferenceDialogFragmentCompat,AndroidX.Preference.ListPreferenceDialogFragmentCompat
MultiSelectListPreferenceDialogFragmentCompat,AndroidX.Preference.MultiSelectListPreferenceDialogFragmentCompat,AndroidX.Preference.MultiSelectListPreferenceDialogFragmentCompat
Preference,AndroidX.Preference.Preference,AndroidX.Preference.Preference
PreferenceCategory,AndroidX.Preference.PreferenceCategory,AndroidX.Preference.PreferenceCategory
PreferenceDataStore,AndroidX.Preference.PreferenceDataStore,AndroidX.Preference.PreferenceDataStore
PreferenceDialogFragmentCompat,AndroidX.Preference.PreferenceDialogFragmentCompat,AndroidX.Preference.PreferenceDialogFragmentCompat
PreferenceFragmentCompat,AndroidX.Preference.PreferenceFragmentCompat,AndroidX.Preference.PreferenceFragmentCompat
PreferenceGroup,AndroidX.Preference.PreferenceGroup,AndroidX.Preference.PreferenceGroup
PreferenceGroupAdapter,AndroidX.Preference.PreferenceGroupAdapter,AndroidX.Preference.PreferenceGroupAdapter
PreferenceManager,AndroidX.Preference.PreferenceManager,AndroidX.Preference.PreferenceManager
PreferenceRecyclerViewAccessibilityDelegate,AndroidX.Preference.PreferenceRecyclerViewAccessibilityDelegate,AndroidX.Preference.PreferenceRecyclerViewAccessibilityDelegate
PreferenceScreen,AndroidX.Preference.PreferenceScreen,AndroidX.Preference.PreferenceScreen
PreferenceViewHolder,AndroidX.Preference.PreferenceViewHolder,AndroidX.Preference.PreferenceViewHolder
SeekBarPreference,AndroidX.Preference.SeekBarPreference,AndroidX.Preference.SeekBarPreference
SwitchPreferenceCompat,AndroidX.Preference.SwitchPreferenceCompat,AndroidX.Preference.SwitchPreferenceCompat
TwoStatePreference,AndroidX.Preference.TwoStatePreference,AndroidX.Preference.TwoStatePreference
UnPressableLinearLayout,AndroidX.Preference.UnPressableLinearLayout,AndroidX.Preference.UnPressableLinearLayout
AdapterListUpdateCallback,AndroidX.RecyclerView.Widget.AdapterListUpdateCallback,AndroidX.RecyclerView.Widget.AdapterListUpdateCallback
AsyncListUtil,AndroidX.RecyclerView.Widget.AsyncListUtil,AndroidX.RecyclerView.Widget.AsyncListUtil
BatchingListUpdateCallback,AndroidX.RecyclerView.Widget.BatchingListUpdateCallback,AndroidX.RecyclerView.Widget.BatchingListUpdateCallback
DiffUtil,AndroidX.RecyclerView.Widget.DiffUtil,AndroidX.RecyclerView.Widget.DiffUtil
IListUpdateCallback,AndroidX.RecyclerView.Widget.IListUpdateCallback,AndroidX.RecyclerView.Widget.IListUpdateCallback
SortedList,AndroidX.RecyclerView.Widget.SortedList,AndroidX.RecyclerView.Widget.SortedList
IItemTouchUIUtil,AndroidX.AppCompat.Widget.Helper.IItemTouchUIUtil,AndroidX.RecyclerView.Widget.IItemTouchUIUtil
ItemTouchHelper,AndroidX.AppCompat.Widget.Helper.ItemTouchHelper,AndroidX.RecyclerView.Widget.ItemTouchHelper
SortedListAdapterCallback,AndroidX.AppCompat.Widget.Util.SortedListAdapterCallback,AndroidX.RecyclerView.Widget.SortedListAdapterCallback
IconCompatParcelizer,AndroidX.Core.Graphics.Drawable.IconCompatParcelizer,Android.Support.V4.Graphics.Drawable.IconCompatParcelizer
AudioAttributesCompatParcelizer,AndroidX.Media.AudioAttributesCompatParcelizer,AndroidX.Media.AudioAttributesCompatParcelizer
AudioAttributesImplBaseParcelizer,AndroidX.Media.AudioAttributesImplBaseParcelizer,AndroidX.Media.AudioAttributesImplBaseParcelizer
