Android.Support.Test.Espresso.Web.Webdriver,                       ,AndroidX.Test.Espresso.Web.Webdriver
Android.Support.Test.Filters,                                      ,AndroidX.Test.Filters
Android.Support.Test,                                              ,AndroidX.Test
Android.Support.Test.Jank,                                         ,AndroidX.Test.Jank
Android.Support.Test.Orchestrator.Callback,                        ,AndroidX.Test.Orchestrator.Callback
Android.Support.Test.Orchestrator.InstrumentationListener,         ,AndroidX.Test.Orchestrator.InstrumentationListener
Android.Support.Test.Orchestrator.junit,                           ,AndroidX.Test.Orchestrator.junit
Android.Support.Test.Orchestrator.Listeners,                       ,AndroidX.Test.Orchestrator.Listeners
Android.Support.Test.Orchestrator.Listeners.Result,                ,AndroidX.Test.Orchestrator.Listeners.Result
Android.Support.Test.Rule,                                         ,AndroidX.Test.Rule
Android.Support.Test.Runner.Intent,                                ,AndroidX.Test.Runner.Intent
Android.Support.Test.Runner.Intercepting,                          ,AndroidX.Test.Runner.Intercepting
Android.Support.Test.Runner.Lifecycle,                             ,AndroidX.Test.Runner.Lifecycle
Android.Support.Test.Runner.Permission,                            ,AndroidX.Test.Runner.Permission
Android.Support.Test.Runner.Screenshot,                            ,AndroidX.Test.Runner.Screenshot
Android.Support.Test.UiAutomator,                                  ,AndroidX.Test.UiAutomator
Android.Support.Text.Emoji.Bundled,                                ,AndroidX.Emoji.Bundled
Android.Support.Text.Emoji,                                        ,AndroidX.Emoji
Android.Support.Text.Emoji.Widget,                                 ,AndroidX.Emoji.Widget
Android.Support.Transition,                                        ,AndroidX.Transition
Android.Support.V13.App,                                           ,AndroidX.Legacy.App
Android.Support.V13.View,                                          ,AndroidX.Legacy.View
Android.Support.V13.View.Inputmethod,                              ,AndroidX.Core.View.Inputmethod
Android.Support.V14.Preference,                                    ,AndroidX.Preference
Android.Support.V17.Internal.Widget,                               ,AndroidX.Leanback.Preference.Internal
Android.Support.V17.Leanback.Animation,                            ,AndroidX.Leanback.Animation
Android.Support.V17.Leanback.App,                                  ,AndroidX.Leanback.App
Android.Support.V17.Leanback.Database,                             ,AndroidX.Leanback.Database
Android.Support.V17.Leanback.Graphics,                             ,AndroidX.Leanback.Graphics
Android.Support.V17.Leanback.Media,                                ,AndroidX.Leanback.Media
Android.Support.V17.Leanback.System,                               ,AndroidX.Leanback.System
Android.Support.V17.Leanback,                                      ,AndroidX.Leanback
Android.Support.V17.Leanback.Transition,                           ,AndroidX.Leanback.Transition
Android.Support.V17.Leanback.Util,                                 ,AndroidX.Leanback.Util
Android.Support.V17.Leanback.Widget,                               ,AndroidX.Leanback.Widget
Android.Support.V17.Preference,                                    ,AndroidX.Leanback.Preference
Android.Support.V4.AccessibilityService,                           ,AndroidX.Core.AccessibilityService
Android.Support.V4.App,                                            ,AndroidX.Core.App
Android.Support.V4.Content,                                        ,AndroidX.Loader.Content
Android.Support.V4.Database,                                       ,AndroidX.Core.Database
Android.Support.V4.Graphics,                                       ,AndroidX.Core.Graphics
Android.Support.V4.Graphics.Drawable,                              ,AndroidX.Core.Graphics.Drawable
Android.Support.V4.hardware.Display,                               ,AndroidX.Core.hardware.Display
Android.Support.V4.hardware.Fingerprint,                           ,AndroidX.Core.hardware.Fingerprint
Android.Support.V4.Internal.View,                                  ,AndroidX.Core.Internal.View
Android.Support.V4.Math,                                           ,AndroidX.Core.Math
Android.Support.V4.Media.App,                                      ,AndroidX.Media.App
Android.Support.V4.Media,                                          ,AndroidX.Media
Android.Support.V4.Media.Session,                                  ,AndroidX.Media.Session
Android.Support.V4.Net,                                            ,AndroidX.Core.Net
Android.Support.V4.Os,                                             ,AndroidX.Core.Os
Android.Support.V4.Print,                                          ,AndroidX.Print
Android.Support.V4.Provider,                                       ,AndroidX.Documentfile.Provider
Android.Support.V4.Text,                                           ,AndroidX.Core.Text
Android.Support.V4.Util,                                           ,AndroidX.Core.Util
Android.Support.V4.View,                                           ,AndroidX.CustomView.View
Android.Support.V4.View,                                           ,AndroidX.Viewpager.Widget
Android.Support.V4.View.Accessibility,                             ,AndroidX.Core.View.Accessibility
Android.Support.V4.View.Animation,                                 ,AndroidX.Core.View.Animation
Android.Support.V4.Widget,                                         ,AndroidX.Core.Widget
Android.Support.V4.Widget,                                         ,AndroidX.SwiperefreshLayout.Widget
Android.Support.V4.Widget,                                         ,AndroidX.Cursoradapter.Widget
Android.Support.V4.Widget,                                         ,AndroidX.CoordinatorLayout.Widget
Android.Support.V4.Widget,                                         ,AndroidX.DrawerLayout.Widget
Android.Support.V4.Widget,                                         ,AndroidX.CustomView.Widget
Android.Support.V4.Widget,                                         ,AndroidX.SlidingpaneLayout.Widget
Android.Support.V7.App,                                            ,AndroidX.AppCompat.App
Android.Support.V7.AppCompat,                                      ,AndroidX.AppCompat
Android.Support.V7.CardView,                                       ,AndroidX.CardView
Android.Support.V7.Content.Res,                                    ,AndroidX.AppCompat.Content.Res
Android.Support.V7.Graphics,                                       ,AndroidX.Palette.Graphics
Android.Support.V7.Graphics,                                       ,AndroidX.AppCompat.Graphics
Android.Support.V7.Graphics.Drawable,                              ,AndroidX.AppCompat.Graphics.Drawable
Android.Support.V7.GridLayout,                                     ,AndroidX.GridLayout
Android.Support.V7.Internal.Widget,                                ,AndroidX.Preference.Internal
Android.Support.V7.Media,                                          ,AndroidX.MediaRouter.Media
Android.Support.V7.MediaRouter,                                    ,AndroidX.MediaRouter
Android.Support.V7.Preference,                                     ,AndroidX.Preference
Android.Support.V7.RecyclerView.Extensions,                        ,AndroidX.RecyclerView.Widget
Android.Support.V7.RecyclerView,                                   ,AndroidX.RecyclerView
Android.Support.V7.Text,                                           ,AndroidX.AppCompat.Text
Android.Support.V7.Util,                                           ,AndroidX.RecyclerView.Widget
Android.Support.V7.View,                                           ,AndroidX.AppCompat.View
Android.Support.V7.View.Menu,                                      ,AndroidX.AppCompat.View.Menu
Android.Support.V7.Widget,                                         ,AndroidX.AppCompat.Widget
Android.Support.Wear.Ambient,                                      ,AndroidX.Wear.Ambient
Android.Support.Wear.Internal.Widget.Drawer,                       ,AndroidX.Wear.Internal.Widget.Drawer
Android.Support.Wear.Internal.Widget,                              ,AndroidX.Wear.Internal.Widget
Android.Support.Wear,                                              ,AndroidX.Wear
Android.Support.Wear.Utils,                                        ,AndroidX.Wear.Utils
Android.Support.Wear.Widget,                                       ,AndroidX.Wear.Widget
Android.Support.Wear.Widget.Drawer,                                ,AndroidX.Wear.Widget.Drawer
