HolderFragment,AndroidX.Lifecycle.HolderFragment
MarginLayoutParamsCompat,AndroidX.CustomView.View.MarginLayoutParamsCompat
MenuCompat,AndroidX.CustomView.View.MenuCompat
MenuItemCompat,AndroidX.CustomView.View.MenuItemCompat
MotionEventCompat,AndroidX.CustomView.View.MotionEventCompat
NestedScrollingChildHelper,AndroidX.CustomView.View.NestedScrollingChildHelper
NestedScrollingParentHelper,AndroidX.CustomView.View.NestedScrollingParentHelper
PagerAdapter,AndroidX.CustomView.View.PagerAdapter
PagerTabStrip,AndroidX.CustomView.View.PagerTabStrip
PagerTitleStrip,AndroidX.CustomView.View.PagerTitleStrip
PointerIconCompat,AndroidX.CustomView.View.PointerIconCompat
ScaleGestureDetectorCompat,AndroidX.CustomView.View.ScaleGestureDetectorCompat
ViewCompat,AndroidX.CustomView.View.ViewCompat
ViewConfigurationCompat,AndroidX.CustomView.View.ViewConfigurationCompat
ViewGroupCompat,AndroidX.CustomView.View.ViewGroupCompat
ViewPager,AndroidX.CustomView.View.ViewPager
ViewParentCompat,AndroidX.CustomView.View.ViewParentCompat
ViewPropertyAnimatorCompat,AndroidX.CustomView.View.ViewPropertyAnimatorCompat
ViewPropertyAnimatorListenerAdapter,AndroidX.CustomView.View.ViewPropertyAnimatorListenerAdapter
ViewPropertyAnimatorUpdateEventArgs,AndroidX.CustomView.View.ViewPropertyAnimatorUpdateEventArgs
WindowCompat,AndroidX.CustomView.View.WindowCompat
WindowInsetsCompat,AndroidX.CustomView.View.WindowInsetsCompat
CircularProgressDrawable,AndroidX.Core.Widget.CircularProgressDrawable
CursorAdapter,AndroidX.Core.Widget.CursorAdapter
CursorFilter,AndroidX.Core.Widget.CursorFilter
CursorFilterICursorFilterClientExtensions,AndroidX.Core.Widget.CursorFilterICursorFilterClientExtensions
DirectedAcyclicGraph,AndroidX.Core.Widget.DirectedAcyclicGraph
DrawerLayout,AndroidX.Core.Widget.DrawerLayout
ExploreByTouchHelper,AndroidX.Core.Widget.ExploreByTouchHelper
ResourceCursorAdapter,AndroidX.Core.Widget.ResourceCursorAdapter
SimpleCursorAdapter,AndroidX.Core.Widget.SimpleCursorAdapter
SimpleCursorAdapterICursorToStringConverterExtensions,AndroidX.Core.Widget.SimpleCursorAdapterICursorToStringConverterExtensions
SlidingPaneLayout,AndroidX.Core.Widget.SlidingPaneLayout
SwipeRefreshLayout,AndroidX.Core.Widget.SwipeRefreshLayout
ViewDragHelper,AndroidX.Core.Widget.ViewDragHelper
ViewGroupUtils,AndroidX.Core.Widget.ViewGroupUtils
MediaRouteActionProvider,AndroidX.AppCompat.App.MediaRouteActionProvider
MediaRouteButton,AndroidX.AppCompat.App.MediaRouteButton
MediaRouteCastDialog,AndroidX.AppCompat.App.MediaRouteCastDialog
MediaRouteChooserDialog,AndroidX.AppCompat.App.MediaRouteChooserDialog
MediaRouteChooserDialogFragment,AndroidX.AppCompat.App.MediaRouteChooserDialogFragment
MediaRouteControllerDialog,AndroidX.AppCompat.App.MediaRouteControllerDialog
MediaRouteControllerDialogFragment,AndroidX.AppCompat.App.MediaRouteControllerDialogFragment
MediaRouteDevicePickerDialog,AndroidX.AppCompat.App.MediaRouteDevicePickerDialog
MediaRouteDialogFactory,AndroidX.AppCompat.App.MediaRouteDialogFactory
MediaRouteDiscoveryFragment,AndroidX.AppCompat.App.MediaRouteDiscoveryFragment
RouteGroup,AndroidX.MediaRouter.Media.MediaRouter.RouteGroup
MenuWrapperFactory,AndroidX.AppCompat.View.Menu.MenuWrapperFactory
AsldcInflateDelegate,AndroidX.AppCompat.Widget.AppCompatDrawableManager.AsldcInflateDelegate
CardView,AndroidX.AppCompat.Widget.CardView
DefaultItemAnimator,AndroidX.AppCompat.Widget.DefaultItemAnimator
DividerItemDecoration,AndroidX.AppCompat.Widget.DividerItemDecoration
GridLayout,AndroidX.AppCompat.Widget.GridLayout
GridLayoutManager,AndroidX.AppCompat.Widget.GridLayoutManager
ICardViewDelegate,AndroidX.AppCompat.Widget.ICardViewDelegate
LayoutState,AndroidX.AppCompat.Widget.LayoutState
LinearLayoutManager,AndroidX.AppCompat.Widget.LinearLayoutManager
LinearSmoothScroller,AndroidX.AppCompat.Widget.LinearSmoothScroller
