AnimationHandler,android.support.animation.AnimationHandler,androidx.dynamicanimation.animation.AnimationHandler,,,android.support.animation,androidx.dynamicanimation.animation,,
Force,android.support.animation.Force,androidx.dynamicanimation.animation.Force,,,android.support.animation,androidx.dynamicanimation.animation,,
AnimatorRes,android.support.annotation.AnimatorRes,androidx.annotation.AnimatorRes,,,android.support.annotation,androidx.annotation,,
AnimRes,android.support.annotation.AnimRes,androidx.annotation.AnimRes,,,android.support.annotation,androidx.annotation,,
AnyRes,android.support.annotation.AnyRes,androidx.annotation.AnyRes,,,android.support.annotation,androidx.annotation,,
AnyThread,android.support.annotation.AnyThread,androidx.annotation.AnyThread,,,android.support.annotation,androidx.annotation,,
ArrayRes,android.support.annotation.ArrayRes,androidx.annotation.ArrayRes,,,android.support.annotation,androidx.annotation,,
AttrRes,android.support.annotation.AttrRes,androidx.annotation.AttrRes,,,android.support.annotation,androidx.annotation,,
BinderThread,android.support.annotation.BinderThread,androidx.annotation.BinderThread,,,android.support.annotation,androidx.annotation,,
BoolRes,android.support.annotation.BoolRes,androidx.annotation.BoolRes,,,android.support.annotation,androidx.annotation,,
CallSuper,android.support.annotation.CallSuper,androidx.annotation.CallSuper,,,android.support.annotation,androidx.annotation,,
CheckResult,android.support.annotation.CheckResult,androidx.annotation.CheckResult,,,android.support.annotation,androidx.annotation,,
ColorInt,android.support.annotation.ColorInt,androidx.annotation.ColorInt,,,android.support.annotation,androidx.annotation,,
ColorLong,android.support.annotation.ColorLong,androidx.annotation.ColorLong,,,android.support.annotation,androidx.annotation,,
ColorRes,android.support.annotation.ColorRes,androidx.annotation.ColorRes,,,android.support.annotation,androidx.annotation,,
DimenRes,android.support.annotation.DimenRes,androidx.annotation.DimenRes,,,android.support.annotation,androidx.annotation,,
DrawableRes,android.support.annotation.DrawableRes,androidx.annotation.DrawableRes,,,android.support.annotation,androidx.annotation,,
FloatRange,android.support.annotation.FloatRange,androidx.annotation.FloatRange,,,android.support.annotation,androidx.annotation,,
