IRequiresApiInvoker,AndroidX.Annotations,managed type,managed type
IRequiresFeature,AndroidX.Annotations,managed type,managed type
IRequiresFeatureInvoker,AndroidX.Annotations,managed type,managed type
IRequiresPermissionRead,AndroidX.Annotations,managed type,managed type
IRequiresPermissionReadInvoker,AndroidX.Annotations,managed type,managed type
IRequiresPermissionWrite,AndroidX.Annotations,managed type,managed type
IRequiresPermissionWriteInvoker,AndroidX.Annotations,managed type,managed type
IRequiresPermission,AndroidX.Annotations,managed type,managed type
IRequiresPermissionInvoker,AndroidX.Annotations,managed type,managed type
RestrictToScope,AndroidX.Annotations,managed type,managed type
IRestrictTo,AndroidX.Annotations,managed type,managed type
IRestrictToInvoker,AndroidX.Annotations,managed type,managed type
ISize,AndroidX.Annotations,managed type,managed type
ISizeInvoker,AndroidX.Annotations,managed type,managed type
IStringDef,AndroidX.Annotations,managed type,managed type
IStringDefInvoker,AndroidX.Annotations,managed type,managed type
IStringRes,AndroidX.Annotations,managed type,managed type
IStringResInvoker,AndroidX.Annotations,managed type,managed type
IStyleRes,AndroidX.Annotations,managed type,managed type
IStyleResInvoker,AndroidX.Annotations,managed type,managed type
IStyleableRes,AndroidX.Annotations,managed type,managed type
IStyleableResInvoker,AndroidX.Annotations,managed type,managed type
ITransitionRes,AndroidX.Annotations,managed type,managed type
ITransitionResInvoker,AndroidX.Annotations,managed type,managed type
IUiThread,AndroidX.Annotations,managed type,managed type
IUiThreadInvoker,AndroidX.Annotations,managed type,managed type
VisibleForTesting,AndroidX.Annotations,managed type,managed type
VisibleForTestingConsts,AndroidX.Annotations,managed type,managed type
IVisibleForTesting,AndroidX.Annotations,managed type,managed type
IVisibleForTestingInvoker,AndroidX.Annotations,managed type,managed type
IWorkerThread,AndroidX.Annotations,managed type,managed type
IWorkerThreadInvoker,AndroidX.Annotations,managed type,managed type
IXmlRes,AndroidX.Annotations,managed type,managed type
IXmlResInvoker,AndroidX.Annotations,managed type,managed type
IdResAttribute,AndroidX.Annotations,managed type,managed type
IntDefAttribute,AndroidX.Annotations,managed type,managed type
IntRangeAttribute,AndroidX.Annotations,managed type,managed type
IntegerResAttribute,AndroidX.Annotations,managed type,managed type
InterpolatorResAttribute,AndroidX.Annotations,managed type,managed type
KeepAttribute,AndroidX.Annotations,managed type,managed type
LayoutResAttribute,AndroidX.Annotations,managed type,managed type
LongDefAttribute,AndroidX.Annotations,managed type,managed type
MainThreadAttribute,AndroidX.Annotations,managed type,managed type
MenuResAttribute,AndroidX.Annotations,managed type,managed type
