HolderFragment                            ,android.arch.lifecycle.HolderFragment                                                     ,androidx.lifecycle.HolderFragment                                                              ,  ,  ,android.arch.lifecycle                                    ,androidx.lifecycle,  ,
CircularRevealHelper                      ,android.support.design.circularreveal.CircularRevealHelper                                ,com.google.android.material.circularreveal.CircularRevealHelper                                ,  ,  ,android.support.design.circularreveal                     ,com.google.android.material.circularreveal,  ,
CircularRevealLinearLayout                ,android.support.design.circularreveal.CircularRevealLinearLayout                          ,com.google.android.material.circularreveal.CircularRevealLinearLayout                          ,  ,  ,android.support.design.circularreveal                     ,com.google.android.material.circularreveal,  ,
CircularRevealRelativeLayout              ,android.support.design.circularreveal.CircularRevealRelativeLayout                        ,com.google.android.material.circularreveal.CircularRevealRelativeLayout                        ,  ,  ,android.support.design.circularreveal                     ,com.google.android.material.circularreveal,  ,
CircularRevealCoordinatorLayout           ,android.support.design.circularreveal.coordinatorlayout.CircularRevealCoordinatorLayout   ,com.google.android.material.circularreveal.coordinatorlayout.CircularRevealCoordinatorLayout   ,  ,  ,android.support.design.circularreveal.coordinatorlayout   ,com.google.android.material.circularreveal.coordinatorlayout,  ,
DrawableUtils                             ,android.support.design.drawable.DrawableUtils                                             ,com.google.android.material.drawable.DrawableUtils                                             ,  ,  ,android.support.design.drawable                           ,com.google.android.material.drawable,  ,
ExpandableWidgetHelper                    ,android.support.design.expandable.ExpandableWidgetHelper                                  ,com.google.android.material.expandable.ExpandableWidgetHelper                                  ,  ,  ,android.support.design.expandable                         ,com.google.android.material.expandable,  ,
BaselineLayout                            ,android.support.design.internal.BaselineLayout                                            ,com.google.android.material.internal.BaselineLayout                                            ,  ,  ,android.support.design.internal                           ,com.google.android.material.internal,  ,
BottomNavigationItemView                  ,android.support.design.internal.BottomNavigationItemView                                  ,com.google.android.material.bottomnavigation.BottomNavigationItemView                          ,  ,  ,android.support.design.internal                           ,com.google.android.material.bottomnavigation,  ,
BottomNavigationMenu                      ,android.support.design.internal.BottomNavigationMenu                                      ,com.google.android.material.bottomnavigation.BottomNavigationMenu                              ,  ,  ,android.support.design.internal                           ,com.google.android.material.bottomnavigation,  ,
BottomNavigationMenuView                  ,android.support.design.internal.BottomNavigationMenuView                                  ,com.google.android.material.bottomnavigation.BottomNavigationMenuView                          ,  ,  ,android.support.design.internal                           ,com.google.android.material.bottomnavigation,  ,
BottomNavigationPresenter                 ,android.support.design.internal.BottomNavigationPresenter                                 ,com.google.android.material.bottomnavigation.BottomNavigationPresenter                         ,  ,  ,android.support.design.internal                           ,com.google.android.material.bottomnavigation,  ,
FlowLayout                                ,android.support.design.internal.FlowLayout                                                ,com.google.android.material.internal.FlowLayout                                                ,  ,  ,android.support.design.internal                           ,com.google.android.material.internal,  ,
ForegroundLinearLayout                    ,android.support.design.internal.ForegroundLinearLayout                                    ,com.google.android.material.internal.ForegroundLinearLayout                                    ,  ,  ,android.support.design.internal                           ,com.google.android.material.internal,  ,
NavigationMenu                            ,android.support.design.internal.NavigationMenu                                            ,com.google.android.material.internal.NavigationMenu                                            ,  ,  ,android.support.design.internal                           ,com.google.android.material.internal,  ,
