INonNull,Android.Support.Annotation,managed type,managed type
INonNullInvoker,Android.Support.Annotation,managed type,managed type
INullable,Android.Support.Annotation,managed type,managed type
INullableInvoker,Android.Support.Annotation,managed type,managed type
IPluralsRes,Android.Support.Annotation,managed type,managed type
IPluralsResInvoker,Android.Support.Annotation,managed type,managed type
IPx,Android.Support.Annotation,managed type,managed type
IPxInvoker,Android.Support.Annotation,managed type,managed type
IRawRes,Android.Support.Annotation,managed type,managed type
IRawResInvoker,Android.Support.Annotation,managed type,managed type
IRequiresApi,Android.Support.Annotation,managed type,managed type
IRequiresApiInvoker,Android.Support.Annotation,managed type,managed type
IRequiresFeature,Android.Support.Annotation,managed type,managed type
IRequiresFeatureInvoker,Android.Support.Annotation,managed type,managed type
IRequiresPermissionRead,Android.Support.Annotation,managed type,managed type
IRequiresPermissionReadInvoker,Android.Support.Annotation,managed type,managed type
IRequiresPermissionWrite,Android.Support.Annotation,managed type,managed type
IRequiresPermissionWriteInvoker,Android.Support.Annotation,managed type,managed type
IRequiresPermission,Android.Support.Annotation,managed type,managed type
IRequiresPermissionInvoker,Android.Support.Annotation,managed type,managed type
RestrictToScope,Android.Support.Annotation,managed type,managed type
IRestrictTo,Android.Support.Annotation,managed type,managed type
IRestrictToInvoker,Android.Support.Annotation,managed type,managed type
ISize,Android.Support.Annotation,managed type,managed type
ISizeInvoker,Android.Support.Annotation,managed type,managed type
IStringDef,Android.Support.Annotation,managed type,managed type
IStringDefInvoker,Android.Support.Annotation,managed type,managed type
IStringRes,Android.Support.Annotation,managed type,managed type
IStringResInvoker,Android.Support.Annotation,managed type,managed type
IStyleRes,Android.Support.Annotation,managed type,managed type
IStyleResInvoker,Android.Support.Annotation,managed type,managed type
IStyleableRes,Android.Support.Annotation,managed type,managed type
IStyleableResInvoker,Android.Support.Annotation,managed type,managed type
ITransitionRes,Android.Support.Annotation,managed type,managed type
ITransitionResInvoker,Android.Support.Annotation,managed type,managed type
IUiThread,Android.Support.Annotation,managed type,managed type
IUiThreadInvoker,Android.Support.Annotation,managed type,managed type
VisibleForTesting,Android.Support.Annotation,managed type,managed type
VisibleForTestingConsts,Android.Support.Annotation,managed type,managed type
IVisibleForTesting,Android.Support.Annotation,managed type,managed type
IVisibleForTestingInvoker,Android.Support.Annotation,managed type,managed type
IWorkerThread,Android.Support.Annotation,managed type,managed type
IWorkerThreadInvoker,Android.Support.Annotation,managed type,managed type
IXmlRes,Android.Support.Annotation,managed type,managed type
IXmlResInvoker,Android.Support.Annotation,managed type,managed type
IdResAttribute,Android.Support.Annotation,managed type,managed type
IntDefAttribute,Android.Support.Annotation,managed type,managed type
IntRangeAttribute,Android.Support.Annotation,managed type,managed type
IntegerResAttribute,Android.Support.Annotation,managed type,managed type
InterpolatorResAttribute,Android.Support.Annotation,managed type,managed type
KeepAttribute,Android.Support.Annotation,managed type,managed type
LayoutResAttribute,Android.Support.Annotation,managed type,managed type
LongDefAttribute,Android.Support.Annotation,managed type,managed type
MainThreadAttribute,Android.Support.Annotation,managed type,managed type
MenuResAttribute,Android.Support.Annotation,managed type,managed type
NavigationResAttribute,Android.Support.Annotation,managed type,managed type
NonNullAttribute,Android.Support.Annotation,managed type,managed type
NullableAttribute,Android.Support.Annotation,managed type,managed type
PluralsResAttribute,Android.Support.Annotation,managed type,managed type
PxAttribute,Android.Support.Annotation,managed type,managed type
RawResAttribute,Android.Support.Annotation,managed type,managed type
RequiresApiAttribute,Android.Support.Annotation,managed type,managed type
RequiresFeatureAttribute,Android.Support.Annotation,managed type,managed type
RequiresPermissionAttribute,Android.Support.Annotation,managed type,managed type
RestrictToAttribute,Android.Support.Annotation,managed type,managed type
SizeAttribute,Android.Support.Annotation,managed type,managed type
StringDefAttribute,Android.Support.Annotation,managed type,managed type
StringResAttribute,Android.Support.Annotation,managed type,managed type
StyleResAttribute,Android.Support.Annotation,managed type,managed type
StyleableResAttribute,Android.Support.Annotation,managed type,managed type
TransitionResAttribute,Android.Support.Annotation,managed type,managed type
UiThreadAttribute,Android.Support.Annotation,managed type,managed type
VisibleForTestingAttribute,Android.Support.Annotation,managed type,managed type
WorkerThreadAttribute,Android.Support.Annotation,managed type,managed type
XmlResAttribute,Android.Support.Annotation,managed type,managed type
<314c4826-0769-4bee-a2b9-edb04de2e1ff>__TypeRegistrations,Java.Interop,managed type,managed type
ArchTaskExecutor,Android.Arch.Core.Executor,managed type,managed type
DefaultTaskExecutor,Android.Arch.Core.Executor,managed type,managed type
TaskExecutor,Android.Arch.Core.Executor,managed type,managed type
TaskExecutorInvoker,Android.Arch.Core.Executor,managed type,managed type
<8a033bd2-6744-40ba-bc10-151682aa7493>__TypeRegistrations,Java.Interop,managed type,managed type
Lifecycle,Android.Arch.Lifecycle,managed type,managed type
Lifecycle.Event,Android.Arch.Lifecycle,managed type,managed type
Lifecycle.Event.OnCreateAttribute,Android.Arch.Lifecycle,managed type,managed type
Lifecycle.Event.OnStartAttribute,Android.Arch.Lifecycle,managed type,managed type
Lifecycle.Event.OnResumeAttribute,Android.Arch.Lifecycle,managed type,managed type
Lifecycle.Event.OnPauseAttribute,Android.Arch.Lifecycle,managed type,managed type
Lifecycle.Event.OnStopAttribute,Android.Arch.Lifecycle,managed type,managed type
Lifecycle.Event.OnDestroyAttribute,Android.Arch.Lifecycle,managed type,managed type
Lifecycle.Event.OnAnyAttribute,Android.Arch.Lifecycle,managed type,managed type
Lifecycle.State,Android.Arch.Lifecycle,managed type,managed type
CompositeGeneratedAdaptersObserver,Android.Arch.Lifecycle,managed type,managed type
IGeneratedAdapter,Android.Arch.Lifecycle,managed type,managed type
IGeneratedAdapterInvoker,Android.Arch.Lifecycle,managed type,managed type
IGenericLifecycleObserver,Android.Arch.Lifecycle,managed type,managed type
IGenericLifecycleObserverInvoker,Android.Arch.Lifecycle,managed type,managed type
ILifecycleObserver,Android.Arch.Lifecycle,managed type,managed type
ILifecycleObserverInvoker,Android.Arch.Lifecycle,managed type,managed type
ILifecycleOwner,Android.Arch.Lifecycle,managed type,managed type
ILifecycleOwnerInvoker,Android.Arch.Lifecycle,managed type,managed type
LifecycleInvoker,Android.Arch.Lifecycle,managed type,managed type
Lifecycling,Android.Arch.Lifecycle,managed type,managed type
MethodCallsLogger,Android.Arch.Lifecycle,managed type,managed type
SingleGeneratedAdapterObserver,Android.Arch.Lifecycle,managed type,managed type
<3bff5e32-1992-4a6c-96cd-0382784ea98e>__TypeRegistrations,Java.Interop,managed type,managed type
HolderFragment,Android.Arch.Lifecycle,managed type,managed type
HolderFragment.HolderFragmentManager,Android.Arch.Lifecycle,managed type,managed type
LifecycleService,Android.Arch.Lifecycle,managed type,managed type
ProcessLifecycleOwner,Android.Arch.Lifecycle,managed type,managed type
ProcessLifecycleOwnerInitializer,Android.Arch.Lifecycle,managed type,managed type
ServiceLifecycleDispatcher,Android.Arch.Lifecycle,managed type,managed type
ServiceLifecycleDispatcher.DispatchRunnable,Android.Arch.Lifecycle,managed type,managed type
ViewModelProviders,Android.Arch.Lifecycle,managed type,managed type
ViewModelProviders.DefaultFactory,Android.Arch.Lifecycle,managed type,managed type
ViewModelStores,Android.Arch.Lifecycle,managed type,managed type
<c92f6255-57ff-4ca2-836d-2733c63dc7c1>__TypeRegistrations,Java.Interop,managed type,managed type
IObserver,Android.Arch.Lifecycle,managed type,managed type
IObserverInvoker,Android.Arch.Lifecycle,managed type,managed type
LiveData,Android.Arch.Lifecycle,managed type,managed type
LiveData.LifecycleBoundObserver,Android.Arch.Lifecycle,managed type,managed type
LiveData.ObserverWrapper,Android.Arch.Lifecycle,managed type,managed type
LiveData.ObserverWrapperInvoker,Android.Arch.Lifecycle,managed type,managed type
LiveDataInvoker,Android.Arch.Lifecycle,managed type,managed type
MutableLiveData,Android.Arch.Lifecycle,managed type,managed type
<a8c1e45d-b0dd-407a-b0c7-5bb58dc40f78>__TypeRegistrations,Java.Interop,managed type,managed type
ComputableLiveData,Android.Arch.Lifecycle,managed type,managed type
ComputableLiveDataInvoker,Android.Arch.Lifecycle,managed type,managed type
MediatorLiveData,Android.Arch.Lifecycle,managed type,managed type
Transformations,Android.Arch.Lifecycle,managed type,managed type
<e3c5ac41-efc6-406d-8703-0cbabb8865d0>__TypeRegistrations,Java.Interop,managed type,managed type
LifecycleRegistry,Android.Arch.Lifecycle,managed type,managed type
LifecycleRegistry.ObserverWithState,Android.Arch.Lifecycle,managed type,managed type
ReportFragment,Android.Arch.Lifecycle,managed type,managed type
<4bcd62ad-9efb-4503-8531-d6456a8111e2>__TypeRegistrations,Java.Interop,managed type,managed type
AndroidViewModel,Android.Arch.Lifecycle,managed type,managed type
IViewModelStoreOwner,Android.Arch.Lifecycle,managed type,managed type
IViewModelStoreOwnerInvoker,Android.Arch.Lifecycle,managed type,managed type
ViewModel,Android.Arch.Lifecycle,managed type,managed type
ViewModelInvoker,Android.Arch.Lifecycle,managed type,managed type
